Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
КЕСТО,Штукатурки,Kesto Opti Gyps Light,850.0,780.0,30.0,кг
КЕСТО,Продукция для промышленности,Hardener C,2800.0,2600.0,1.0,литр
КЕСТО,Упаковочная промышленность,Sitol 2072-R,1550.0,1420.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 2063-R,1450.0,1350.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 2186-R,9800.0,9200.0,1000.0,кг
КЕСТО,Продукция для промышленности,Sitol 2394-R,1850.0,1720.0,15.0,кг
КЕСТО,Продукция для промышленности,Sitol 2395-R,1950.0,1800.0,15.0,кг
КЕСТО,Продукция для промышленности,Sitol 2396-R,2050.0,1900.0,15.0,кг
КЕСТО,Продукция для промышленности,Sitol 2397-R,2150.0,2000.0,15.0,кг
КЕСТО,Продукция для промышленности,Kestomer VPE/А-R,1850.0,1720.0,15.0,кг
КЕСТО,Продукция для промышленности,Sitol 2062/L-R,1750.0,1620.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 8060-R,1650.0,1520.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 8082/UV-R,1850.0,1720.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 8085-R,1750.0,1620.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 8085/UV-R,1950.0,1800.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 8185-R,1650.0,1520.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 8189-R,1750.0,1620.0,15.0,кг
КЕСТО,Упаковочная промышленность,Sitol 8303-R,1850.0,1720.0,15.0,кг
КЕСТО,Аксессуары,Kesto Шпатель зубчатый A2,450.0,420.0,0.3,кг
КЕСТО,Аксессуары,Kesto Шпатель зубчатый B10,550.0,500.0,0.4,кг
КЕСТО,Дисперсионные клеи,Sitol 2303-R,1550.0,1420.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 2062-R,1450.0,1350.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4171-СR,1650.0,1520.0,15.0,кг
КЕСТО,Дисперсионные клеи,Kestomer VPN/HV-R,1750.0,1620.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4171/TR,1550.0,1420.0,15.0,кг
КЕСТО,Дисперсионные клеи,Kestomer VPN-R,1650.0,1520.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 2060-R,1450.0,1350.0,15.0,кг
КЕСТО,Продукция для промышленности,Sitol 7010-R,1850.0,1720.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4170/HV-R,1750.0,1620.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 3900-R,1550.0,1420.0,15.0,кг
КЕСТО,Дисперсионные клеи,Kestomer VPE-R,1650.0,1520.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4815-R,1750.0,1620.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4172-R,1550.0,1420.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4180/S-R,1650.0,1520.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4171/M-R,1750.0,1620.0,15.0,кг
КЕСТО,Дисперсионные клеи,Sitol 4171/LV-R,1550.0,1420.0,15.0,кг
КЕСТО,Наливные полы,Kesto Finish,1250.0,1150.0,20.0,кг
КЕСТО,Кладочно-клеевые растворы,Kesto Eco Block Winter,750.0,690.0,25.0,кг
КЕСТО,Штукатурки,Kesto TF,680.0,620.0,25.0,кг
КЕСТО,Штукатурки,Kesto TT,720.0,670.0,25.0,кг
КРИО_СЕРВИС,,Ацетилен растворённый в баллонах,4500.0,,40.0,литр
КРИО_СЕРВИС,,Пропан-бутановая смесь в баллонах,1700.0,,50.0,литр
КРИО_СЕРВИС,,Кислород технический в баллонах,1000.0,,40.0,литр
КРИО_СЕРВИС,,Углекислота (двуоксись углерода) в баллонах,1500.0,,40.0,литр
КРИО_СЕРВИС,,Смесь сварочная ArCO2 80/20 в баллонах,2300.0,,40.0,литр
КРИО_СЕРВИС,,Аргон в/ч в баллонах,2300.0,,40.0,литр
КРИО_СЕРВИС,,Азот в/ч в баллонах,1200.0,,40.0,литр
